Year,Decadal_Period,Month_Number,Month_Name,State,Geopolitical_Zone,Broad_Region,Hydrological_Risk_Zone,Monthly_Rainfall_mm,Annual_Rainfall_mm,Rainfall_Anomaly_Pct,Mean_Temperature_C,Temperature_Anomaly_C,Atmospheric_Moisture_Capacity_Index,Off_Season_Rainfall_Flag,Flood_Occurred,Flood_Mechanism,Dam_Water_Release,Total_Deaths,Total_Displaced,Farmland_Submerged_Ha,Economic_Loss_Billion_NGN
1990,1990-2009 (Baseline),1,January,Bayelsa,South South,South,Riverine_Confluence,32.93,3292.71,4.5,27.24,0.04,1.003,1,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Bayelsa,South South,South,Riverine_Confluence,98.78,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Bayelsa,South South,South,Riverine_Confluence,197.56,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Bayelsa,South South,South,Riverine_Confluence,296.34,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Bayelsa,South South,South,Riverine_Confluence,395.13,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Bayelsa,South South,South,Riverine_Confluence,493.91,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Bayelsa,South South,South,Riverine_Confluence,592.69,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Bayelsa,South South,South,Riverine_Confluence,362.2,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Bayelsa,South South,South,Riverine_Confluence,526.83,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Bayelsa,South South,South,Riverine_Confluence,230.49,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Bayelsa,South South,South,Riverine_Confluence,65.85,3292.71,4.5,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Bayelsa,South South,South,Riverine_Confluence,0.0,3292.71,0.0,27.24,0.04,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Rivers,South South,South,Coastal_Urban,30.37,3036.62,5.5,27.17,0.069,1.003,1,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Rivers,South South,South,Coastal_Urban,91.1,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Rivers,South South,South,Coastal_Urban,182.2,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Rivers,South South,South,Coastal_Urban,273.3,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Rivers,South South,South,Coastal_Urban,364.39,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Rivers,South South,South,Coastal_Urban,455.49,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Rivers,South South,South,Coastal_Urban,546.59,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Rivers,South South,South,Coastal_Urban,334.03,3036.62,5.4,27.17,0.069,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Rivers,South South,South,Coastal_Urban,485.86,3036.62,5.4,27.17,0.069,1.003,0,1,Localized_Flash,0,2,2891,1815,3.02
1990,1990-2009 (Baseline),10,October,Rivers,South South,South,Coastal_Urban,212.56,3036.62,5.4,27.17,0.069,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Rivers,South South,South,Coastal_Urban,60.73,3036.62,5.4,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Rivers,South South,South,Coastal_Urban,0.0,3036.62,0.0,27.17,0.069,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Akwa Ibom,South South,South,Coastal_Urban,27.08,2708.3,-0.4,27.12,0.12,1.003,1,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Akwa Ibom,South South,South,Coastal_Urban,81.25,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Akwa Ibom,South South,South,Coastal_Urban,162.5,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Akwa Ibom,South South,South,Coastal_Urban,243.75,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Akwa Ibom,South South,South,Coastal_Urban,325.0,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Akwa Ibom,South South,South,Coastal_Urban,406.24,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Akwa Ibom,South South,South,Coastal_Urban,487.49,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Akwa Ibom,South South,South,Coastal_Urban,297.91,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Akwa Ibom,South South,South,Coastal_Urban,433.33,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),10,October,Akwa Ibom,South South,South,Coastal_Urban,189.58,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Akwa Ibom,South South,South,Coastal_Urban,54.17,2708.3,-0.4,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Akwa Ibom,South South,South,Coastal_Urban,0.0,2708.3,0.0,27.12,0.12,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Cross River,South South,South,Riverine_Confluence,26.4,2639.98,-0.4,26.95,0.152,1.003,1,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Cross River,South South,South,Riverine_Confluence,79.2,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Cross River,South South,South,Riverine_Confluence,158.4,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),4,April,Cross River,South South,South,Riverine_Confluence,237.6,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),5,May,Cross River,South South,South,Riverine_Confluence,316.8,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),6,June,Cross River,South South,South,Riverine_Confluence,396.0,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),7,July,Cross River,South South,South,Riverine_Confluence,475.2,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),8,August,Cross River,South South,South,Riverine_Confluence,290.4,2639.98,-0.4,26.95,0.152,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),9,September,Cross River,South South,South,Riverine_Confluence,422.4,2639.98,-0.4,26.95,0.152,1.003,0,1,Localized_Flash,0,3,1582,810,0.7
1990,1990-2009 (Baseline),10,October,Cross River,South South,South,Riverine_Confluence,184.8,2639.98,-0.4,26.95,0.152,1.003,0,1,Localized_Flash,0,0,0,0,0.0
1990,1990-2009 (Baseline),11,November,Cross River,South South,South,Riverine_Confluence,52.8,2639.98,-0.4,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),12,December,Cross River,South South,South,Riverine_Confluence,0.0,2639.98,0.0,26.95,0.152,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),1,January,Delta,South South,South,Riverine_Confluence,24.99,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),2,February,Delta,South South,South,Riverine_Confluence,74.96,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
1990,1990-2009 (Baseline),3,March,Delta,South South,South,Riverine_Confluence,149.92,2498.69,2.0,27.46,0.157,1.003,0,0,None,0,0,0,0,0.0
